letter,weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
a,347,"{'top_left': 14, 'top_right': 37, 'bottom_left': 134, 'bottom_right': 162}","{'top_left': 0.041666666666666664, 'top_right': 0.11011904761904762, 'bottom_left': 0.39880952380952384, 'bottom_right': 0.48214285714285715}","(15.15850144092219, 34.27089337175793)","(0.5413750514615068, 0.7139769452449568)","(70.42229401456702, 46.96334991570397)","(0.029330401505442322, 0.05584227100559331)"
b,347,"{'top_left': 53, 'top_right': 33, 'bottom_left': 133, 'bottom_right': 128}","{'top_left': 0.15773809523809523, 'top_right': 0.09821428571428571, 'bottom_left': 0.3958333333333333, 'bottom_right': 0.38095238095238093}","(14.086455331412104, 32.0)","(0.5030876904075752, 0.6666666666666666)","(104.43227665706051, 51.3988655333073)","(0.04349532555479405, 0.061116368053873125)"
c,252,"{'top_left': 8, 'top_right': 36, 'bottom_left': 121, 'bottom_right': 87}","{'top_left': 0.02564102564102564, 'top_right': 0.11538461538461539, 'bottom_left': 0.38782051282051283, 'bottom_right': 0.27884615384615385}","(12.865079365079366, 33.86904761904762)","(0.49481074481074483, 0.7056051587301587)","(83.50269274376417, 42.40243134290753)","(0.03477829768586596, 0.058165200744729126)"
d,361,"{'top_left': 20, 'top_right': 68, 'bottom_left': 141, 'bottom_right': 132}","{'top_left': 0.052083333333333336, 'top_right': 0.17708333333333334, 'bottom_left': 0.3671875, 'bottom_right': 0.34375}","(16.401662049861496, 31.83656509695291)","(0.5290858725761773, 0.6632617728531857)","(100.55223640088705, 64.79434626806118)","(0.0418793154522645, 0.06327572877740349)"
e,349,"{'top_left': 11, 'top_right': 33, 'bottom_left': 155, 'bottom_right': 150}","{'top_left': 0.03273809523809524, 'top_right': 0.09821428571428571, 'bottom_left': 0.46130952380952384, 'bottom_right': 0.44642857142857145}","(14.203438395415473, 33.84813753581662)","(0.5072656569791241, 0.7051695319961796)","(63.36662260572574, 45.1878391803023)","(0.026391762851197726, 0.053731081070514025)"
f,217,"{'top_left': 34, 'top_right': 69, 'bottom_left': 102, 'bottom_right': 12}","{'top_left': 0.12878787878787878, 'top_right': 0.26136363636363635, 'bottom_left': 0.38636363636363635, 'bottom_right': 0.045454545454545456}","(9.67741935483871, 26.05990783410138)","(0.4608294930875576, 0.5544661241298167)","(103.1438764892013, 17.04801546008622)","(0.044767307503993624, 0.035223172438194665)"
g,429,"{'top_left': 45, 'top_right': 73, 'bottom_left': 168, 'bottom_right': 143}","{'top_left': 0.10344827586206896, 'top_right': 0.167816091954023, 'bottom_left': 0.38620689655172413, 'bottom_right': 0.32873563218390806}","(14.503496503496503, 38.494172494172496)","(0.5001205690860864, 0.6753363595468859)","(127.32222711243689, 54.8513863758619)","(0.03784846228074818, 0.06094598486206878)"
h,307,"{'top_left': 53, 'top_right': 36, 'bottom_left': 111, 'bottom_right': 107}","{'top_left': 0.15773809523809523, 'top_right': 0.10714285714285714, 'bottom_left': 0.33035714285714285, 'bottom_right': 0.31845238095238093}","(14.260586319218241, 29.86970684039088)","(0.5093066542577943, 0.6355256774551251)","(89.71592271536038, 56.199195747434985)","(0.03893920256743072, 0.06682425178054101)"
i,127,"{'top_left': 0, 'top_right': 32, 'bottom_left': 60, 'bottom_right': 35}","{'top_left': 0.0, 'top_right': 0.19047619047619047, 'bottom_left': 0.35714285714285715, 'bottom_right': 0.20833333333333334}","(6.858267716535433, 30.724409448818896)","(0.5275590551181103, 0.6537108393365723)","(110.498852997706, 6.3106206212412435)","(0.04795957161358767, 0.03219704398592471)"
j,161,"{'top_left': 3, 'top_right': 47, 'bottom_left': 93, 'bottom_right': 18}","{'top_left': 0.014778325123152709, 'top_right': 0.2315270935960591, 'bottom_left': 0.458128078817734, 'bottom_right': 0.08866995073891626}","(5.763975155279503, 35.41614906832298)","(0.4433827042522695, 0.6213359485670699)","(158.52868330697117, 8.789012769569075)","(0.04712505449077621, 0.04484190188555651)"
k,289,"{'top_left': 51, 'top_right': 16, 'bottom_left': 117, 'bottom_right': 105}","{'top_left': 0.15178571428571427, 'top_right': 0.047619047619047616, 'bottom_left': 0.3482142857142857, 'bottom_right': 0.3125}","(12.460207612456747, 31.283737024221452)","(0.4450074147305981, 0.665611426047265)","(90.05098119035931, 36.781288538211946)","(0.039084627252760115, 0.04373518256624488)"
l,148,"{'top_left': 0, 'top_right': 52, 'bottom_left': 63, 'bottom_right': 33}","{'top_left': 0.0, 'top_right': 0.30952380952380953, 'bottom_left': 0.375, 'bottom_right': 0.19642857142857142}","(7.04054054054054, 29.0)","(0.5415800415800416, 0.6170212765957447)","(114.0, 6.2010591672753845)","(0.049479166666666664, 0.03163805697589482)"
m,421,"{'top_left': 35, 'top_right': 50, 'bottom_left': 142, 'bottom_right': 194}","{'top_left': 0.06944444444444445, 'top_right': 0.0992063492063492, 'bottom_left': 0.28174603174603174, 'bottom_right': 0.38492063492063494}","(22.320665083135392, 31.586698337292162)","(0.5314444067413189, 0.6720574114317481)","(67.03108197313263, 146.9351786550516)","(0.029093351550838815, 0.07946737623312689)"
n,263,"{'top_left': 12, 'top_right': 36, 'bottom_left': 109, 'bottom_right': 106}","{'top_left': 0.03571428571428571, 'top_right': 0.10714285714285714, 'bottom_left': 0.3244047619047619, 'bottom_right': 0.31547619047619047}","(14.923954372623575, 32.12167300380228)","(0.532998370450842, 0.6834398511447294)","(66.45667856987957, 62.18433113099799)","(0.028844044518176896, 0.07394094070273245)"
o,307,"{'top_left': 13, 'top_right': 33, 'bottom_left': 130, 'bottom_right': 131}","{'top_left': 0.03869047619047619, 'top_right': 0.09821428571428571, 'bottom_left': 0.3869047619047619, 'bottom_right': 0.3898809523809524}","(14.739413680781759, 34.0)","(0.5264076314564914, 0.7083333333333334)","(75.74592833876221, 57.52167131746755)","(0.03154765861672729, 0.0683967554309959)"
p,356,"{'top_left': 44, 'top_right': 65, 'bottom_left': 150, 'bottom_right': 97}","{'top_left': 0.10837438423645321, 'top_right': 0.16009852216748768, 'bottom_left': 0.3694581280788177, 'bottom_right': 0.23891625615763548}","(13.047752808988765, 36.26685393258427)","(0.46599117174959875, 0.636260595308496)","(102.20687886630478, 64.37693315237976)","(0.030382544252765986, 0.07654807747013051)"
q,353,"{'top_left': 42, 'top_right': 70, 'bottom_left': 103, 'bottom_right': 138}","{'top_left': 0.10344827586206896, 'top_right': 0.1724137931034483, 'bottom_left': 0.2536945812807882, 'bottom_right': 0.3399014778325123}","(15.19830028328612, 36.02832861189802)","(0.54279643868879, 0.6320759405596144)","(102.53744111581025, 51.280790312096244)","(0.030480808892928136, 0.060975969455524665)"
r,145,"{'top_left': 11, 'top_right': 24, 'bottom_left': 95, 'bottom_right': 15}","{'top_left': 0.041666666666666664, 'top_right': 0.09090909090909091, 'bottom_left': 0.35984848484848486, 'bottom_right': 0.056818181818181816}","(8.903448275862068, 30.979310344827585)","(0.42397372742200323, 0.659134262655906)","(67.0271581450654, 22.694126040428063)","(0.029091648500462412, 0.04688869016617368)"
s,290,"{'top_left': 12, 'top_right': 35, 'bottom_left': 107, 'bottom_right': 136}","{'top_left': 0.038461538461538464, 'top_right': 0.11217948717948718, 'bottom_left': 0.34294871794871795, 'bottom_right': 0.4358974358974359}","(14.048275862068966, 34.3)","(0.540318302387268, 0.7145833333333332)","(78.91344827586208, 32.832152199762184)","(0.03286690890289966, 0.045037245815860334)"
t,198,"{'top_left': 12, 'top_right': 56, 'bottom_left': 76, 'bottom_right': 54}","{'top_left': 0.0625, 'top_right': 0.2916666666666667, 'bottom_left': 0.3958333333333333, 'bottom_right': 0.28125}","(8.212121212121213, 30.13131313131313)","(0.5132575757575758, 0.6277356902356902)","(108.1544740332619, 8.056014692378328)","(0.04504559518253307, 0.027875483364630894)"
u,265,"{'top_left': 12, 'top_right': 12, 'bottom_left': 122, 'bottom_right': 119}","{'top_left': 0.03571428571428571, 'top_right': 0.03571428571428571, 'bottom_left': 0.3630952380952381, 'bottom_right': 0.3541666666666667}","(14.777358490566037, 35.90188679245283)","(0.5277628032345013, 0.7479559748427672)","(66.36773228907084, 61.68250622997508)","(0.027641704410275237, 0.07334424046370402)"
v,206,"{'top_left': 12, 'top_right': 12, 'bottom_left': 110, 'bottom_right': 72}","{'top_left': 0.03333333333333333, 'top_right': 0.03333333333333333, 'bottom_left': 0.3055555555555556, 'bottom_right': 0.2}","(13.509708737864077, 33.44660194174757)","(0.4658520254435889, 0.7116298285478208)","(57.26656612310303, 40.76446884720521)","(0.02485528043537458, 0.04529385427467245)"
w,365,"{'top_left': 13, 'top_right': 26, 'bottom_left': 162, 'bottom_right': 164}","{'top_left': 0.027083333333333334, 'top_right': 0.05416666666666667, 'bottom_left': 0.3375, 'bottom_right': 0.3416666666666667}","(19.13150684931507, 33.66027397260274)","(0.47828767123287674, 0.7161760419702711)","(56.651709513980116, 93.7032538937887)","(0.02458841558766498, 0.05574256626638233)"
x,231,"{'top_left': 13, 'top_right': 15, 'bottom_left': 100, 'bottom_right': 103}","{'top_left': 0.03869047619047619, 'top_right': 0.044642857142857144, 'bottom_left': 0.2976190476190476, 'bottom_right': 0.30654761904761907}","(13.619047619047619, 34.142857142857146)","(0.5044091710758377, 0.7264437689969605)","(66.12244897959184, 33.222840651412085)","(0.028698979591836735, 0.04237607225945419)"
y,263,"{'top_left': 31, 'top_right': 34, 'bottom_left': 146, 'bottom_right': 52}","{'top_left': 0.07126436781609195, 'top_right': 0.07816091954022988, 'bottom_left': 0.335632183908046, 'bottom_right': 0.11954022988505747}","(12.14828897338403, 37.73764258555133)","(0.4189065163235873, 0.6620639050096724)","(112.68021801674159, 44.39245904957422)","(0.033495903096534364, 0.04932495449952691)"
z,312,"{'top_left': 21, 'top_right': 39, 'bottom_left': 122, 'bottom_right': 130}","{'top_left': 0.0673076923076923, 'top_right': 0.125, 'bottom_left': 0.391025641025641, 'bottom_right': 0.4166666666666667}","(13.304487179487179, 34.26923076923077)","(0.5117110453648915, 0.7291325695581015)","(88.5749506903353, 33.26946704470743)","(0.03844398901490247, 0.04563712900508564)"
